2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
Justin Tomlinson,CON,LAB,Swindon North,E14001536,South West,,27.9%,43.5%,5.6%,17.0%,5.7%,,,0.3%,LAB,,15.6%,"7,376",,"13,224","20,600","2,673","8,073","2,712",0,128,,LAB GAIN,,58.5%,30.5%,7.9%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-30.9%,+13.3%,-2.0%,+16.6%,+2.8%,,,+0.3%
Robert Buckland,CON,LAB,Swindon South,E14001537,South West,,22.6%,53.5%,5.2%,14.5%,3.9%,,,0.3%,LAB,,30.9%,"15,294",,"11,196","26,490","2,550","7,184","1,926",0,150,,LAB GAIN,,51.6%,40.2%,7.7%,0.0%,0.5%,0.0%,0.0%,0.0%,CON,-29.5%,+13.1%,-2.3%,+14.8%,+3.6%,,,+0.3%
Christopher Pincher,CON,LAB,Tamworth,E14001538,West Midlands,,33.7%,37.6%,3.8%,19.5%,3.3%,,,2.1%,LAB,,3.9%,"1,851",,"16,034","17,885","1,788","9,274","1,588",0,"1,006",,LAB GAIN,,66.7%,23.3%,5.3%,0.0%,2.1%,0.0%,0.0%,2.6%,CON,-33.7%,+14.6%,-1.3%,+19.6%,+1.4%,,,-0.6%
Esther McVey,CON,LAB,Tatton,E14001539,North West,,27.8%,35.1%,12.8%,18.4%,5.9%,,,0.1%,LAB,,7.3%,"4,048",,"15,376","19,425","7,082","10,180","3,239",0,67,,LAB GAIN,,57.3%,22.5%,16.2%,0.4%,3.7%,0.0%,0.0%,0.0%,CON,-30.0%,+12.7%,-2.8%,+17.7%,+2.3%,,,+0.1%
Rebecca Pow,CON,LDM,Taunton and Wellington,E14001540,South West,,23.6%,11.2%,43.6%,18.2%,2.6%,,,0.8%,LDM,,20.0%,"10,893",,"12,836","6,124","23,729","9,910","1,441",0,412,,LDM GAIN,,52.0%,7.9%,36.3%,0.0%,0.0%,0.0%,0.0%,3.8%,CON,-28.7%,+3.3%,+8.0%,+17.7%,+2.7%,,,-3.0%
Lucy Allan,CON,LAB,Telford,E14001541,West Midlands,,25.6%,45.0%,4.6%,20.8%,3.8%,,,0.1%,LAB,,19.4%,"8,448",,"11,153","19,601","2,007","9,045","1,661",0,54,,LAB GAIN,,59.4%,34.3%,6.2%,0.0%,0.1%,0.0%,0.0%,0.0%,CON,-33.9%,+11.1%,-1.4%,+20.2%,+3.8%,,,+0.1%
Laurence Robertson,CON,LDM,Tewkesbury,E14001542,South West,,27.4%,18.8%,28.0%,19.1%,6.3%,,,0.5%,LDM,,0.6%,348,,"14,749","10,127","15,097","10,289","3,370",0,252,,LDM GAIN,,58.1%,15.7%,22.0%,0.0%,4.2%,0.0%,0.0%,0.0%,CON,-31.1%,+2.8%,+6.4%,+19.0%,+2.4%,,,+0.5%
Mark Pritchard,CON,LAB,The Wrekin,E14001543,West Midlands,,32.9%,34.9%,7.6%,19.1%,5.2%,,,0.4%,LAB,,2.0%,"1,084",,"17,238","18,322","3,992","9,999","2,722",0,190,,LAB GAIN,,64.7%,24.3%,8.0%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-32.1%,+10.9%,-0.1%,+18.5%,+2.4%,,,+0.4%
Kevin Hollinrake,CON,CON,Thirsk and Malton,E14001544,Yorkshire and the Humber,,30.5%,27.3%,11.2%,22.9%,7.3%,,,0.8%,CON,,3.2%,"1,636",,"15,899","14,264","5,870","11,942","3,794",0,411,,CON HOLD,,62.5%,17.8%,12.5%,0.0%,4.5%,0.0%,0.0%,2.8%,CON,-32.0%,+9.6%,-0.6%,+22.2%,+2.9%,,,-2.0%
Luke Hall,CON,LDM,Thornbury and Yate,E14001545,South West,,29.8%,12.2%,38.5%,16.8%,2.6%,,,0.1%,LDM,,8.7%,"4,916",,"16,688","6,818","21,605","9,406","1,461",0,74,,LDM GAIN,,58.5%,8.7%,32.6%,0.0%,0.2%,0.0%,0.0%,0.0%,CON,-29.2%,+3.4%,+6.8%,+16.4%,+2.5%,,,+0.1%
Jackie Doyle-Price,CON,LAB,Thurrock,E14001546,East of England,,27.2%,44.2%,3.4%,20.8%,3.7%,,,0.6%,LAB,,17.0%,"7,548",,"12,079","19,627","1,508","9,224","1,657",0,280,,LAB GAIN,,59.9%,33.0%,3.1%,0.0%,1.7%,0.0%,0.0%,2.4%,CON,-33.0%,+11.7%,+0.5%,+20.4%,+2.1%,,,-1.7%
Shaun Bailey,CON,LAB,Tipton and Wednesbury,E14001547,West Midlands,,22.6%,46.6%,2.8%,22.8%,3.9%,,,1.4%,LAB,,23.8%,"9,081",,"8,609","17,772","1,083","8,691","1,489",0,521,,LAB GAIN,,50.7%,38.4%,3.1%,5.9%,1.9%,0.0%,0.0%,0.0%,CON,-27.8%,+8.4%,-0.1%,+16.1%,+2.1%,,,+1.4%
Unknown (new seat),CON,LDM,Tiverton and Minehead,E14001548,South West,,27.6%,15.4%,31.9%,19.3%,5.6%,,,0.3%,LDM,,4.3%,"2,132",,"13,626","7,596","15,758","9,548","2,749",0,163,,LDM GAIN,,61.3%,14.3%,19.5%,0.0%,4.3%,0.0%,0.0%,0.6%,CON,-34.4%,+1.1%,+13.2%,+18.9%,+1.4%,,,-0.3%
Tom Tugendhat,CON,CON,Tonbridge,E14001549,South East,,32.4%,24.5%,10.5%,19.2%,12.9%,,,0.5%,CON,,7.9%,"4,269",,"17,634","13,365","5,694","10,455","7,017",0,294,,CON HOLD,,64.8%,15.1%,12.3%,0.0%,7.9%,0.0%,0.0%,0.0%,CON,-32.8%,+9.1%,-1.4%,+18.6%,+5.9%,,,+0.5%
Rosena Allin-Khan,LAB,LAB,Tooting,E14001550,Greater London,,15.2%,59.8%,8.0%,7.0%,9.3%,,,0.7%,LAB,,44.6%,"26,098",,"8,899","34,996","4,683","4,099","5,420",0,412,,LAB HOLD,,28.2%,52.7%,14.2%,0.8%,4.0%,0.0%,0.0%,0.1%,LAB,-13.2%,+7.1%,-5.9%,+6.0%,+5.5%,,,+0.6%
Kevin Foster,CON,LDM,Torbay,E14001551,South West,,28.2%,15.6%,32.9%,19.2%,3.6%,,,0.5%,LDM,,4.7%,"2,381",,"14,381","7,944","16,761","9,807","1,848",0,233,,LDM GAIN,,59.1%,13.0%,24.3%,0.0%,2.4%,0.0%,0.0%,1.3%,CON,-31.2%,+2.7%,+9.2%,+18.8%,+1.4%,,,-0.8%
Geoffrey Cox,CON,CON,Torridge and Tavistock,E14001552,South West,,27.8%,25.1%,17.5%,23.1%,5.8%,,,0.7%,CON,,2.7%,"1,514",,"15,223","13,709","9,587","12,644","3,148",0,369,,CON HOLD,,59.8%,17.9%,17.9%,0.0%,3.4%,0.0%,0.0%,1.0%,CON,-31.9%,+7.1%,+0.2%,+22.1%,+2.7%,,,-0.3%
David Lammy,LAB,LAB,Tottenham,E14001553,Greater London,,6.0%,73.2%,3.3%,5.2%,10.2%,,,2.0%,LAB,,63.0%,"28,818",,"2,762","33,486","1,510","2,381","4,669",0,925,,LAB HOLD,,11.1%,77.8%,5.0%,1.3%,4.3%,0.0%,0.0%,0.5%,LAB,-5.2%,-4.6%,-1.6%,+3.8%,+6.1%,,,+1.5%
Cherilyn Mackrory,CON,LAB,Truro and Falmouth,E14001554,South West,,19.2%,50.5%,8.4%,15.8%,5.6%,,,0.5%,LAB,,31.3%,"17,302",,"10,597","27,900","4,641","8,732","3,076",0,269,,LAB GAIN,x,46.8%,38.8%,10.8%,0.0%,2.8%,0.0%,0.0%,0.8%,CON,-28.0%,+11.9%,-2.0%,+15.4%,+3.0%,,,-0.3%
Greg Clark,CON,LDM,Tunbridge Wells,E14001555,South East,,26.3%,19.3%,33.4%,16.9%,3.3%,,,0.8%,LDM,,7.1%,"3,870",,"14,386","10,549","18,256","9,244","1,793",0,452,,LDM GAIN,,55.1%,14.8%,28.3%,0.0%,0.0%,0.0%,0.0%,1.8%,CON,-28.8%,+4.7%,+5.1%,+16.6%,+3.4%,,,-0.9%
Munira Wilson,LDM,LDM,Twickenham,E14001556,Greater London,,18.6%,10.7%,52.1%,10.4%,7.6%,,,0.7%,LDM,,33.5%,"19,559",,"10,827","6,240","30,386","6,061","4,416",0,428,,LDM HOLD,,33.8%,8.7%,56.2%,1.3%,0.0%,0.0%,0.0%,0.0%,LDM,-15.4%,+2.0%,-3.9%,+8.9%,+7.6%,,,+0.7%
Alan Campbell,LAB,LAB,Tynemouth,E14001557,North East,,13.2%,57.5%,5.4%,17.6%,5.8%,,,0.4%,LAB,,39.9%,"21,511",,"7,141","31,033","2,927","9,522","3,130",0,210,,LAB HOLD,x,40.2%,46.7%,6.7%,3.9%,2.4%,0.0%,0.0%,0.0%,LAB,-27.3%,+10.9%,-1.0%,+13.5%,+3.5%,,,+0.3%
Boris Johnson,CON,LAB,Uxbridge and South Ruislip,E14001558,Greater London,,36.3%,44.0%,3.4%,9.2%,5.3%,,,1.8%,LAB,,7.7%,"3,922",,"18,452","22,374","1,711","4,673","2,683",0,910,,LAB GAIN,,52.6%,37.0%,6.6%,0.0%,2.7%,0.0%,0.0%,1.1%,CON,-17.1%,+7.3%,-3.0%,+9.4%,+2.9%,,,+0.6%
Florence Eshalomi,LAB,LAB,Vauxhall and Camberwell Green,E14001559,Greater London,,7.1%,62.5%,12.0%,5.9%,11.4%,,,1.1%,LAB,,50.5%,"23,429",,"3,305","29,001","5,572","2,741","5,285",0,503,,LAB HOLD,,14.5%,60.5%,19.1%,1.6%,4.1%,0.0%,0.0%,0.3%,LAB,-7.5%,+2.0%,-6.8%,+4.2%,+7.4%,,,+0.8%
Unknown (new seat),CON,LAB,Wakefield and Rothwell,E14001560,Yorkshire and the Humber,,15.8%,50.3%,6.7%,21.5%,4.7%,,,1.0%,LAB,,28.8%,"14,111",,"7,778","24,681","3,279","10,570","2,305",0,501,,LAB GAIN,x,44.9%,39.5%,10.9%,3.2%,1.0%,0.0%,0.0%,0.5%,CON,-29.5%,+11.0%,-3.9%,+18.1%,+3.9%,,,+0.4%
Angela Eagle,LAB,LAB,Wallasey,E14001561,North West,,6.3%,68.3%,3.6%,14.4%,6.3%,,,1.1%,LAB,,53.9%,"27,799",,"3,265","35,194","1,841","7,395","3,255",0,553,,LAB HOLD,,25.9%,63.7%,3.9%,4.1%,2.4%,0.0%,0.0%,0.0%,LAB,-19.7%,+4.7%,-0.1%,+9.8%,+4.2%,,,+1.1%
Eddie Hughes,CON,LAB,Walsall and Bloxwich,E14001562,West Midlands,,21.1%,52.6%,3.2%,18.4%,3.9%,,,0.7%,LAB,,31.5%,"14,358",,"9,628","23,986","1,473","8,383","1,781",0,341,,LAB GAIN,x,49.2%,44.4%,2.9%,1.3%,1.5%,0.0%,0.0%,0.6%,CON,-27.3%,+7.3%,+0.6%,+16.7%,+2.6%,,,+0.1%
Stella Creasy,LAB,LAB,Walthamstow,E14001563,Greater London,,6.1%,74.3%,3.2%,6.2%,9.2%,,,1.1%,LAB,,65.1%,"31,491",,"2,934","35,926","1,526","2,993","4,435",0,516,,LAB HOLD,,12.3%,76.1%,6.0%,1.6%,3.6%,0.0%,0.0%,0.5%,LAB,-6.3%,-1.8%,-2.7%,+4.4%,+5.8%,,,+0.5%
Charlotte Nichols,LAB,LAB,Warrington North,E14001564,North West,,13.5%,51.9%,6.2%,21.9%,5.9%,,,0.6%,LAB,,30.0%,"13,975",,"6,283","24,154","2,872","10,179","2,731",0,302,,LAB HOLD,x,40.9%,44.2%,6.6%,5.6%,2.7%,0.0%,0.0%,0.0%,LAB,-27.6%,+7.8%,0.0%,+15.8%,+3.4%,,,+0.6%
Andy Carter,CON,LAB,Warrington South,E14001565,North West,,16.1%,53.5%,6.6%,18.8%,4.4%,,,0.5%,LAB,,34.7%,"18,824",,"8,738","28,974","3,576","10,150","2,402",0,267,,LAB HOLD,x,44.4%,44.5%,8.2%,2.7%,0.0%,0.0%,0.0%,0.3%,LAB,-28.5%,+9.3%,-1.2%,+15.7%,+4.6%,,,+0.2%
Matt Western,LAB,LAB,Warwick and Leamington,E14001566,West Midlands,,14.4%,55.0%,8.7%,14.2%,7.2%,,,0.5%,LAB,,40.6%,"21,166",,"7,527","28,692","4,560","7,399","3,751",0,275,,LAB HOLD,x,41.1%,43.3%,10.9%,1.4%,2.9%,0.0%,0.0%,0.4%,LAB,-26.9%,+11.7%,-1.7%,+12.4%,+4.4%,,,+0.1%
Sharon Hodgson,LAB,LAB,Washington and Gateshead South,E14001567,North East,,11.0%,52.4%,4.2%,26.0%,5.5%,,,0.9%,LAB,,26.4%,"11,093",,"4,601","22,016","1,783","10,923","2,296",0,370,,LAB HOLD,x,33.7%,43.1%,4.9%,13.8%,2.7%,0.0%,0.0%,1.8%,LAB,-23.1%,+8.9%,-0.5%,+12.6%,+2.9%,,,-1.0%
Dean Russell,CON,LAB,Watford,E14001568,East of England,,14.9%,50.8%,14.4%,14.6%,4.7%,,,0.6%,LAB,,35.9%,"17,335",,"7,208","24,543","6,949","7,036","2,261",0,277,,LAB GAIN,x,42.0%,39.3%,17.7%,0.0%,0.3%,0.0%,0.0%,0.7%,CON,-27.3%,+11.7%,-3.1%,+14.3%,+4.6%,,,-0.1%
Unknown (new seat),CON,GRN,Waveney Valley,E14001569,East of England,,23.6%,17.2%,6.3%,23.1%,29.3%,,,0.5%,GRN,,5.7%,"2,952",,"12,083","8,832","3,216","11,871","15,035",0,245,,GRN GAIN,,62.2%,18.6%,9.2%,0.0%,9.3%,0.0%,0.0%,0.7%,CON,-39.4%,-2.5%,-2.8%,+22.9%,+22.1%,,,-0.3%
Unknown (new seat),CON,CON,Weald of Kent,E14001570,South East,,38.5%,23.3%,9.2%,22.1%,6.9%,,,0.1%,CON,,15.2%,"7,539",,"19,087","11,547","4,552","10,976","3,415",0,61,,CON HOLD,,72.0%,14.1%,10.1%,0.0%,3.9%,0.0%,0.0%,0.0%,CON,-33.8%,+9.4%,-0.5%,+21.6%,+3.2%,,,+0.1%
Peter Bone,CON,LAB,Wellingborough and Rushden,E14001571,East Midlands,,25.4%,40.8%,4.9%,21.9%,4.8%,,,2.2%,LAB,,15.4%,"7,247",,"11,955","19,202","2,301","10,305","2,256",0,"1,056",,LAB GAIN,,62.4%,28.3%,6.7%,0.0%,2.7%,0.0%,0.0%,0.0%,CON,-37.3%,+12.8%,-1.6%,+21.8%,+2.3%,,,+2.0%
James Heappey,CON,LDM,Wells and Mendip Hills,E14001572,South West,,26.5%,13.0%,38.2%,17.8%,3.7%,,,0.8%,LDM,,11.7%,"6,616",,"14,943","7,336","21,558","10,065","2,088",0,444,,LDM GAIN,,56.1%,10.8%,30.8%,0.0%,1.2%,0.0%,0.0%,1.1%,CON,-30.0%,+2.2%,+8.2%,+17.4%,+2.6%,,,-0.3%
Grant Shapps,CON,LAB,Welwyn Hatfield,E14001573,East of England,,23.8%,45.6%,9.1%,15.2%,6.1%,,,0.1%,LAB,C,21.8%,"11,300",,"12,326","23,626","4,704","7,897","3,183",0,67,,LAB GAIN,,52.5%,31.7%,12.7%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-29.1%,+14.1%,-3.2%,+14.9%,+3.2%,,,+0.1%
Nicola Richards,CON,LAB,West Bromwich,E14001574,West Midlands,,20.2%,50.1%,3.5%,20.9%,4.6%,,,0.6%,LAB,,29.2%,"12,094",,"8,368","20,747","1,469","8,654","1,903",0,234,,LAB GAIN,x,47.3%,42.1%,3.6%,3.8%,1.9%,0.0%,0.0%,1.3%,CON,-27.5%,+7.8%,+0.3%,+17.4%,+2.8%,,,-0.7%
Chris Loder,CON,LDM,West Dorset,E14001575,South West,,33.3%,13.3%,45.5%,,5.8%,,,2.1%,LDM,,12.2%,"7,063",,"19,245","7,662","26,308",0,"3,363",0,"1,231",,LDM GAIN,,54.3%,9.4%,32.8%,0.0%,3.5%,0.0%,0.0%,0.0%,CON,-21.6%,+3.8%,+13.3%,0.0%,+2.4%,,,+2.1%
Lyn Brown,LAB,LAB,West Ham and Beckton,E14001576,Greater London,,8.5%,69.9%,4.1%,8.9%,7.2%,,,1.3%,LAB,,61.0%,"24,695",,"3,450","28,291","1,661","3,596","2,911",0,540,,LAB HOLD,,16.4%,70.7%,6.1%,2.8%,2.5%,0.0%,0.0%,1.5%,LAB,-8.1%,-0.7%,-1.8%,+5.9%,+4.8%,,,-0.2%
Rosie Cooper,LAB,LAB,West Lancashire,E14001577,North West,,13.7%,59.5%,4.7%,16.6%,5.3%,,,0.2%,LAB,,42.9%,"22,590",,"7,238","31,332","2,471","8,742","2,777",0,102,,LAB HOLD,,36.3%,52.1%,4.9%,4.3%,2.4%,0.0%,0.0%,0.0%,LAB,-23.1%,+7.3%,+0.1%,+12.4%,+3.2%,,,+0.2%
Matt Hancock,CON,LAB,West Suffolk,E14001578,East of England,,29.9%,31.6%,7.3%,23.2%,7.4%,,,0.6%,LAB,,1.7%,837,,"14,742","15,579","3,603","11,444","3,643",0,318,,LAB GAIN,,64.3%,22.2%,9.0%,0.0%,4.5%,0.0%,0.0%,0.0%,CON,-34.7%,+9.6%,-1.3%,+22.6%,+3.1%,,,+0.7%
Harriett Baldwin,CON,CON,West Worcestershire,E14001579,West Midlands,,29.3%,22.9%,19.3%,20.8%,7.3%,,,0.4%,CON,,6.4%,"3,714",,"16,867","13,154","11,083","11,977","4,223",0,252,,CON HOLD,,60.7%,16.5%,18.1%,0.0%,4.7%,0.0%,0.0%,0.0%,CON,-31.7%,+6.6%,+1.8%,+20.2%,+2.7%,,,+0.4%
Unknown (changed seat),CON,LDM,Westmorland and Lonsdale,E14001580,North West,,19.2%,8.3%,49.8%,19.6%,2.5%,,,0.5%,LDM,,30.2%,"16,354",,"10,401","4,497","26,993","10,639","1,354",0,285,,LDM GAIN,x,50.2%,6.9%,40.7%,1.1%,0.5%,0.0%,0.0%,0.6%,CON,-31.2%,+1.4%,+9.9%,+18.0%,+2.0%,,,-0.1%
John Penrose,CON,LAB,Weston-super-Mare,E14001581,South West,,27.0%,41.0%,8.0%,17.8%,6.0%,,,0.1%,LAB,,14.0%,"6,386",,"12,415","18,801","3,684","8,190","2,751",0,58,,LAB GAIN,,57.1%,28.1%,11.7%,0.0%,3.0%,0.0%,0.0%,0.0%,CON,-30.7%,+12.8%,-3.3%,+17.8%,+3.3%,,,+0.1%
Alec Shelbrooke,CON,CON,Wetherby and Easingwold,E14001582,Yorkshire and the Humber,,35.8%,28.9%,7.0%,20.6%,6.6%,,,1.2%,CON,,6.9%,"3,765",,"19,462","15,697","3,806","11,179","3,579",0,655,,CON HOLD,,68.2%,18.3%,7.9%,0.0%,3.9%,0.0%,0.0%,1.7%,CON,-32.9%,+10.2%,-0.5%,+20.9%,+2.9%,,,-0.6%
Trudy Harrison,CON,LAB,Whitehaven and Workington,E14001583,North West,,16.8%,52.8%,3.1%,22.8%,4.4%,,,0.2%,LAB,,30.0%,"14,827",,"8,283","26,066","1,508","11,239","2,173",0,119,,LAB GAIN,x,48.4%,44.1%,4.0%,1.5%,1.2%,0.0%,0.0%,0.8%,CON,-31.8%,+8.8%,-0.7%,+20.9%,+3.4%,,,-0.6%
Derek Twigg,LAB,LAB,Widnes and Halewood,E14001584,North West,,5.7%,70.0%,2.9%,15.8%,5.2%,,,0.4%,LAB,,54.2%,"25,580",,"2,709","33,018","1,369","7,438","2,472",0,190,,LAB HOLD,,20.8%,66.5%,2.8%,7.6%,2.3%,0.0%,0.0%,0.0%,LAB,-15.2%,+3.6%,+0.3%,+7.8%,+3.1%,,,+0.4%
Lisa Nandy,LAB,LAB,Wigan,E14001585,North West,,9.5%,53.8%,5.1%,24.5%,6.2%,,,1.0%,LAB,,29.3%,"13,209",,"4,274","24,234","2,281","11,024","2,781",0,468,,LAB HOLD,,31.8%,46.7%,5.4%,13.2%,2.9%,0.0%,0.0%,0.0%,LAB,-22.4%,+7.2%,0.0%,+10.7%,+3.5%,,,+1.0%
Stephen Hammond,CON,LDM,Wimbledon,E14001586,Greater London,,24.7%,19.3%,42.4%,9.0%,3.8%,,,0.8%,LDM,,17.7%,"10,046",,"14,063","10,984","24,109","5,128","2,157",0,437,,LDM GAIN,x,39.8%,20.8%,38.3%,0.2%,0.2%,0.0%,0.0%,0.6%,CON,-15.3%,-1.5%,+4.5%,+8.6%,+3.6%,,,+0.2%
Steve Brine,CON,LDM,Winchester,E14001587,South East,,26.1%,7.2%,48.8%,13.9%,3.5%,,,0.5%,LDM,,22.7%,"14,536",,"16,676","4,627","31,212","8,868","2,217",0,342,,LDM GAIN,,54.0%,4.8%,39.9%,0.0%,0.9%,0.0%,0.0%,0.5%,CON,-28.4%,+2.5%,+9.6%,+13.5%,+2.6%,,,+0.1%
Adam Afriyie,CON,LAB,Windsor,E14001588,South East,,28.7%,29.5%,19.0%,15.2%,6.5%,,,1.0%,LAB,,0.8%,404,,"14,374","14,777","9,525","7,597","3,272",0,484,,CON HOLD,,56.0%,19.6%,18.9%,0.3%,3.5%,0.0%,0.0%,1.8%,CON,-27.5%,+8.8%,+2.3%,+14.1%,+3.2%,,,-0.8%
Unknown (changed seat),CON,LAB,Wirral West,E14001589,North West,,17.9%,56.9%,4.7%,15.4%,5.0%,,,0.1%,LAB,,39.0%,"21,875",,"10,005","31,880","2,639","8,658","2,788",0,72,,LAB HOLD,x,44.4%,45.2%,5.7%,2.2%,2.5%,0.0%,0.0%,0.0%,LAB,-26.8%,+11.9%,-0.7%,+12.9%,+2.6%,,,+0.1%
Priti Patel,CON,CON,Witham,E14001590,East of England,,33.4%,27.5%,8.2%,21.2%,9.2%,,,0.5%,CON,,5.9%,"3,042",,"17,381","14,339","4,248","11,065","4,795",0,267,,CON HOLD,,66.7%,17.5%,10.0%,0.0%,5.8%,0.0%,0.0%,0.0%,CON,-33.7%,+10.3%,-1.4%,+20.7%,+3.6%,,,+0.5%
Robert Courts,CON,LDM,Witney,E14001591,South East,,28.1%,18.5%,33.2%,16.2%,3.4%,,,0.6%,LDM,,5.1%,"2,480",,"13,725","9,016","16,205","7,930","1,641",0,302,,LDM GAIN,,58.1%,15.4%,26.0%,0.0%,0.0%,0.0%,0.0%,0.6%,CON,-30.4%,+3.1%,+8.1%,+15.8%,+3.4%,,,+0.1%
Jonathan Lord,CON,LDM,Woking,E14001592,South East,,20.9%,20.1%,40.3%,13.8%,4.2%,,,0.7%,LDM,,19.4%,"9,772",,"10,577","10,147","20,349","6,964","2,103",0,363,,LDM GAIN,,48.3%,16.7%,31.1%,0.0%,2.8%,0.0%,0.0%,1.2%,CON,-27.6%,+3.4%,+9.8%,+13.4%,+1.5%,,,-0.5%
John Redwood,CON,LDM,Wokingham,E14001593,South East,,28.5%,13.8%,40.3%,13.8%,3.5%,,,0.1%,LDM,,11.8%,"6,518",,"15,655","7,584","22,173","7,580","1,928",0,75,,LDM GAIN,,55.5%,9.9%,32.3%,0.0%,2.2%,0.0%,0.0%,0.2%,CON,-27.5%,+3.9%,+8.8%,+13.4%,+1.4%,,,0.0%
Jane Stevenson,CON,LAB,Wolverhampton North East,E14001594,West Midlands,,25.5%,46.9%,3.2%,20.8%,3.5%,,,0.1%,LAB,,21.4%,"8,447",,"10,108","18,555","1,250","8,232","1,398",0,49,,LAB GAIN,,55.7%,35.9%,3.6%,3.1%,1.8%,0.0%,0.0%,0.0%,CON,-30.4%,+11.3%,-0.2%,+17.3%,+1.8%,,,+0.1%
Pat McFadden,LAB,LAB,Wolverhampton South East,E14001595,West Midlands,,15.0%,56.1%,3.8%,20.5%,4.2%,,,0.4%,LAB,,35.6%,"13,635",,"5,720","21,459","1,463","7,825","1,601",0,152,,LAB HOLD,x,41.2%,47.4%,3.8%,5.9%,1.7%,0.0%,0.0%,0.0%,LAB,-26.7%,+8.7%,+0.2%,+14.7%,+2.6%,,,+0.4%
Stuart Anderson,CON,LAB,Wolverhampton West,E14001596,West Midlands,,21.3%,55.0%,4.0%,15.5%,3.8%,,,0.5%,LAB,,33.7%,"17,183",,"10,835","28,018","2,017","7,913","1,933",0,233,,LAB GAIN,x,47.4%,45.5%,4.4%,2.5%,0.2%,0.0%,0.0%,0.0%,CON,-26.4%,+9.7%,-0.2%,+12.7%,+3.7%,,,+0.5%
Robin Walker,CON,LAB,Worcester,E14001597,West Midlands,,20.3%,49.5%,5.8%,17.6%,6.3%,,,0.6%,LAB,,29.2%,"14,831",,"10,332","25,162","2,940","8,942","3,191",0,295,,LAB GAIN,,50.8%,37.5%,7.2%,0.0%,3.3%,0.0%,0.0%,1.2%,CON,-30.7%,+12.2%,-1.1%,+17.1%,+3.0%,,,-0.6%
Barbara Keeley,LAB,LAB,Worsley and Eccles,E14001598,North West,,12.5%,54.4%,4.6%,22.1%,5.8%,,,0.6%,LAB,,32.3%,"15,973",,"6,216","26,932","2,288","10,959","2,865",0,274,,LAB HOLD,x,38.5%,46.5%,5.3%,7.1%,2.5%,0.0%,0.0%,0.0%,LAB,-26.2%,+8.0%,-0.4%,+14.6%,+3.4%,,,+0.5%
Peter Bottomley,CON,LAB,Worthing West,E14001599,South East,,27.4%,42.2%,6.8%,16.8%,6.4%,,,0.4%,LAB,,14.8%,"7,783",,"14,403","22,187","3,573","8,817","3,356",0,230,,LAB GAIN,,56.0%,29.5%,9.9%,0.0%,3.6%,0.0%,0.0%,0.9%,CON,-28.9%,+12.9%,-2.8%,+16.4%,+2.9%,,,-0.5%
Steve Baker,CON,LAB,Wycombe,E14001600,South East,,17.7%,51.1%,9.0%,14.6%,5.9%,,,1.6%,LAB,,33.4%,"15,667",,"8,299","23,966","4,238","6,831","2,785",0,745,,LAB GAIN,x,43.1%,39.9%,11.3%,0.0%,2.6%,0.0%,0.0%,3.1%,CON,-25.8%,+11.4%,-1.9%,+14.2%,+3.5%,,,-1.5%
Mark Garnier,CON,LAB,Wyre Forest,E14001601,West Midlands,,32.2%,33.5%,6.3%,21.5%,6.2%,,,0.3%,LAB,,1.3%,646,,"16,297","16,943","3,191","10,885","3,128",0,156,,LAB GAIN,,65.2%,22.8%,8.1%,0.0%,3.9%,0.0%,0.0%,0.0%,CON,-33.2%,+11.0%,-1.5%,+21.0%,+2.4%,,,+0.3%
Mike Kane,LAB,LAB,Wythenshawe and Sale East,E14001602,North West,,8.0%,59.0%,6.2%,18.3%,7.6%,,,0.8%,LAB,,40.7%,"18,216",,"3,568","26,436","2,793","8,220","3,400",0,379,,LAB HOLD,,30.1%,53.3%,7.0%,6.1%,3.5%,0.0%,0.0%,0.1%,LAB,-22.3%,+5.7%,-0.4%,+11.9%,+4.3%,,,+0.7%
Marcus Fysh,CON,LDM,Yeovil,E14001603,South West,,28.1%,8.8%,39.7%,18.9%,3.8%,,,0.7%,LDM,,11.6%,"6,298",,"15,194","4,785","21,492","10,258","2,032",0,391,,LDM GAIN,,58.2%,6.3%,31.1%,0.0%,2.8%,0.0%,0.0%,1.6%,CON,-30.4%,+2.5%,+9.3%,+18.4%,+1.1%,,,-0.9%
Rachael Maskell,LAB,LAB,York Central,E14001604,Yorkshire and the Humber,,6.7%,65.0%,6.8%,11.5%,9.2%,,,0.8%,LAB,,53.5%,"26,820",,"3,377","32,557","3,385","5,737","4,622",0,399,,LAB HOLD,,27.8%,56.4%,7.8%,2.4%,4.2%,0.0%,0.0%,1.4%,LAB,-21.3%,+8.5%,-0.7%,+8.8%,+5.3%,,,-0.6%
